Package,LibPath,Version,Priority,Built
assertthat,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
backports,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
base64enc,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-3,NA,3.4.1
BH,C:/Users/chayajo/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
bindr,C:/Users/chayajo/Documents/R/win-library/3.4,0.1,NA,3.4.2
bindrcpp,C:/Users/chayajo/Documents/R/win-library/3.4,0.2,NA,3.4.2
bitops,C:/Users/chayajo/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
brew,C:/Users/chayajo/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
broom,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
callr,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
car,C:/Users/chayajo/Documents/R/win-library/3.4,2.1-6,NA,3.4.3
caTools,C:/Users/chayajo/Documents/R/win-library/3.4,1.17.1,NA,3.4.2
cellranger,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.0,NA,3.4.2
chron,C:/Users/chayajo/Documents/R/win-library/3.4,2.3-52,NA,3.4.3
cli,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
clipr,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.0,NA,3.4.2
clisymbols,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
colorspace,C:/Users/chayajo/Documents/R/win-library/3.4,1.3-2,NA,3.4.2
commonmark,C:/Users/chayajo/Documents/R/win-library/3.4,1.4,NA,3.4.3
compare,C:/Users/chayajo/Documents/R/win-library/3.4,0.2-6,NA,3.4.1
covr,C:/Users/chayajo/Documents/R/win-library/3.4,3.0.1,NA,3.4.3
crayon,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.4,NA,3.4.2
curl,C:/Users/chayajo/Documents/R/win-library/3.4,3.1,NA,3.4.3
data.table,C:/Users/chayajo/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.3
datapasta,C:/Users/chayajo/Documents/R/win-library/3.4,2.0.0,NA,3.4.2
DBI,C:/Users/chayajo/Documents/R/win-library/3.4,0.7,NA,3.4.2
dbplyr,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
desc,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
devtools,C:/Users/chayajo/Documents/R/win-library/3.4,1.13.4,NA,3.4.2
dichromat,C:/Users/chayajo/Documents/R/win-library/3.4,2.0-0,NA,3.4.1
digest,C:/Users/chayajo/Documents/R/win-library/3.4,0.6.14,NA,3.4.3
dplyr,C:/Users/chayajo/Documents/R/win-library/3.4,0.7.4,NA,3.4.2
enc,C:/Users/chayajo/Documents/R/win-library/3.4,0.1,NA,3.4.3
evaluate,C:/Users/chayajo/Documents/R/win-library/3.4,0.10.1,NA,3.4.2
forcats,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
fs,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
gdata,C:/Users/chayajo/Documents/R/win-library/3.4,2.18.0,NA,3.4.3
gender,C:/Users/chayajo/Documents/R/win-library/3.4,0.5.1,NA,3.4.3
ggplot2,C:/Users/chayajo/Documents/R/win-library/3.4,2.2.1,NA,3.4.2
ggthemes,C:/Users/chayajo/Documents/R/win-library/3.4,3.4.0,NA,3.4.3
gh,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
git2r,C:/Users/chayajo/Documents/R/win-library/3.4,0.21.0,NA,3.4.3
glue,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.2
grayskull,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.0,NA,3.4.3
gridExtra,C:/Users/chayajo/Documents/R/win-library/3.4,2.3,NA,3.4.3
gtable,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
gtools,C:/Users/chayajo/Documents/R/win-library/3.4,3.5.0,NA,3.4.1
haven,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
here,C:/Users/chayajo/Documents/R/win-library/3.4,0.1,NA,3.4.3
highlite,C:/Users/chayajo/Documents/R/win-library/3.4,0.0.0.9000,NA,3.4.3
highr,C:/Users/chayajo/Documents/R/win-library/3.4,0.6,NA,3.4.2
hms,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
htmltools,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.6,NA,3.4.2
httpuv,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.5,NA,3.4.2
httr,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.1,NA,3.4.2
igraph,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
ini,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.0,NA,3.4.3
installr,C:/Users/chayajo/Documents/R/win-library/3.4,0.19.0,NA,3.4.3
irlba,C:/Users/chayajo/Documents/R/win-library/3.4,2.3.2,NA,3.4.3
jsonlite,C:/Users/chayajo/Documents/R/win-library/3.4,1.5,NA,3.4.2
knitr,C:/Users/chayajo/Documents/R/win-library/3.4,1.18,NA,3.4.3
labeling,C:/Users/chayajo/Documents/R/win-library/3.4,0.3,NA,3.4.1
lazyeval,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.1,NA,3.4.2
lme4,C:/Users/chayajo/Documents/R/win-library/3.4,1.1-15,NA,3.4.3
lookup,C:/Users/chayajo/Documents/R/win-library/3.4,0.0.0.9000,NA,3.4.3
lubridate,C:/Users/chayajo/Documents/R/win-library/3.4,1.7.1,NA,3.4.2
magrittr,C:/Users/chayajo/Documents/R/win-library/3.4,1.5,NA,3.4.2
markdown,C:/Users/chayajo/Documents/R/win-library/3.4,0.8,NA,3.4.2
MASS,C:/Users/chayajo/Documents/R/win-library/3.4,7.3-48,recommended,3.4.3
MatrixModels,C:/Users/chayajo/Documents/R/win-library/3.4,0.4-1,NA,3.4.3
memoise,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
mime,C:/Users/chayajo/Documents/R/win-library/3.4,0.5,NA,3.4.1
minqa,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.4,NA,3.4.3
mnormt,C:/Users/chayajo/Documents/R/win-library/3.4,1.5-5,NA,3.4.1
modelr,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.1,NA,3.4.2
munsell,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.3,NA,3.4.2
nloptr,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.4,NA,3.4.3
NLP,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-11,NA,3.4.1
openNLP,C:/Users/chayajo/Documents/R/win-library/3.4,0.2-6,NA,3.4.3
openNLPdata,C:/Users/chayajo/Documents/R/win-library/3.4,1.5.3-4,NA,3.4.3
openssl,C:/Users/chayajo/Documents/R/win-library/3.4,0.9.9,NA,3.4.3
pastecs,C:/Users/chayajo/Documents/R/win-library/3.4,1.3-18,NA,3.4.2
pbkrtest,C:/Users/chayajo/Documents/R/win-library/3.4,0.4-7,NA,3.4.3
pillar,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
pkgconfig,C:/Users/chayajo/Documents/R/win-library/3.4,2.0.1,NA,3.4.2
plogr,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-1,NA,3.4.2
plotrix,C:/Users/chayajo/Documents/R/win-library/3.4,3.7,NA,3.4.3
plyr,C:/Users/chayajo/Documents/R/win-library/3.4,1.8.4,NA,3.4.2
psych,C:/Users/chayajo/Documents/R/win-library/3.4,1.7.8,NA,3.4.2
purrr,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.4,NA,3.4.2
qdap,C:/Users/chayajo/Documents/R/win-library/3.4,2.2.9,NA,3.4.3
qdapDictionaries,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.6,NA,3.4.1
qdapRegex,C:/Users/chayajo/Documents/R/win-library/3.4,0.7.2,NA,3.4.3
qdapTools,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.3,NA,3.4.3
quantreg,C:/Users/chayajo/Documents/R/win-library/3.4,5.34,NA,3.4.3
R6,C:/Users/chayajo/Documents/R/win-library/3.4,2.2.2,NA,3.4.2
RColorBrewer,C:/Users/chayajo/Documents/R/win-library/3.4,1.1-2,NA,3.4.1
Rcpp,C:/Users/chayajo/Documents/R/win-library/3.4,0.12.15,NA,3.4.3
RcppEigen,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.3.3.1,NA,3.4.3
RCurl,C:/Users/chayajo/Documents/R/win-library/3.4,1.95-4.10,NA,3.4.3
readr,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.1,NA,3.4.2
readxl,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
rebus,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-3,NA,3.4.2
rebus.base,C:/Users/chayajo/Documents/R/win-library/3.4,0.0-3,NA,3.4.2
rebus.datetimes,C:/Users/chayajo/Documents/R/win-library/3.4,0.0-1,NA,3.4.2
rebus.numbers,C:/Users/chayajo/Documents/R/win-library/3.4,0.0-1,NA,3.4.2
rebus.unicode,C:/Users/chayajo/Documents/R/win-library/3.4,0.0-2,NA,3.4.2
rematch,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.1,NA,3.4.2
rematch2,C:/Users/chayajo/Documents/R/win-library/3.4,2.0.1,NA,3.4.3
reports,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.4,NA,3.4.3
reprex,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.1,NA,3.4.2
reshape2,C:/Users/chayajo/Documents/R/win-library/3.4,1.4.3,NA,3.4.3
rex,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
rJava,C:/Users/chayajo/Documents/R/win-library/3.4,0.9-9,NA,3.4.3
rlang,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.6,NA,3.4.3
rmarkdown,C:/Users/chayajo/Documents/R/win-library/3.4,1.8,NA,3.4.3
roxygen2,C:/Users/chayajo/Documents/R/win-library/3.4,6.0.1,NA,3.4.3
rprojroot,C:/Users/chayajo/Documents/R/win-library/3.4,1.3-2,NA,3.4.3
rstudioapi,C:/Users/chayajo/Documents/R/win-library/3.4,0.7,NA,3.4.2
rvest,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.2,NA,3.4.2
scales,C:/Users/chayajo/Documents/R/win-library/3.4,0.5.0,NA,3.4.2
selectr,C:/Users/chayajo/Documents/R/win-library/3.4,0.3-1,NA,3.4.2
shiny,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.5,NA,3.4.2
slam,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-42,NA,3.4.3
sourcetools,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.6,NA,3.4.2
SparseM,C:/Users/chayajo/Documents/R/win-library/3.4,1.77,NA,3.4.1
stringdist,C:/Users/chayajo/Documents/R/win-library/3.4,0.9.4.6,NA,3.4.3
stringi,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.6,NA,3.4.2
stringr,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.2
styler,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
tibble,C:/Users/chayajo/Documents/R/win-library/3.4,1.4.1,NA,3.4.3
tidyr,C:/Users/chayajo/Documents/R/win-library/3.4,0.7.2,NA,3.4.2
tidyselect,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.3,NA,3.4.2
tidyverse,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.1,NA,3.4.3
tm,C:/Users/chayajo/Documents/R/win-library/3.4,0.7-3,NA,3.4.3
usethis,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
utf8,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.3,NA,3.4.3
venneuler,C:/Users/chayajo/Documents/R/win-library/3.4,1.1-0,NA,3.4.3
viridisLite,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
wesanderson,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.2,NA,3.4.2
whisker,C:/Users/chayajo/Documents/R/win-library/3.4,0.3-2,NA,3.4.2
withr,C:/Users/chayajo/Documents/R/win-library/3.4,2.1.1,NA,3.4.3
wordcloud,C:/Users/chayajo/Documents/R/win-library/3.4,2.5,NA,3.4.3
xlsx,C:/Users/chayajo/Documents/R/win-library/3.4,0.5.7,NA,3.4.3
xlsxjars,C:/Users/chayajo/Documents/R/win-library/3.4,0.6.1,NA,3.4.3
XML,C:/Users/chayajo/Documents/R/win-library/3.4,3.98-1.9,NA,3.4.3
xml2,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.1,NA,3.4.2
xtable,C:/Users/chayajo/Documents/R/win-library/3.4,1.8-2,NA,3.4.2
yaml,C:/Users/chayajo/Documents/R/win-library/3.4,2.1.16,NA,3.4.3
base,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
boot,C:/Program Files/R/R-3.4.3/library,1.3-20,recommended,3.4.3
class,C:/Program Files/R/R-3.4.3/library,7.3-14,recommended,3.4.3
cluster,C:/Program Files/R/R-3.4.3/library,2.0.6,recommended,3.4.3
codetools,C:/Program Files/R/R-3.4.3/library,0.2-15,recommended,3.4.3
compiler,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
datasets,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
foreign,C:/Program Files/R/R-3.4.3/library,0.8-69,recommended,3.4.3
graphics,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grDevices,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grid,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
KernSmooth,C:/Program Files/R/R-3.4.3/library,2.23-15,recommended,3.4.3
lattice,C:/Program Files/R/R-3.4.3/library,0.20-35,recommended,3.4.3
MASS,C:/Program Files/R/R-3.4.3/library,7.3-47,recommended,3.4.3
Matrix,C:/Program Files/R/R-3.4.3/library,1.2-12,recommended,3.4.3
methods,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
mgcv,C:/Program Files/R/R-3.4.3/library,1.8-22,recommended,3.4.3
nlme,C:/Program Files/R/R-3.4.3/library,3.1-131,recommended,3.4.3
nnet,C:/Program Files/R/R-3.4.3/library,7.3-12,recommended,3.4.3
parallel,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
rpart,C:/Program Files/R/R-3.4.3/library,4.1-11,recommended,3.4.3
spatial,C:/Program Files/R/R-3.4.3/library,7.3-11,recommended,3.4.3
splines,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats4,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
survival,C:/Program Files/R/R-3.4.3/library,2.41-3,recommended,3.4.3
tcltk,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
tools,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
translations,C:/Program Files/R/R-3.4.3/library,3.4.3,NA,3.4.3
utils,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
